,airline_name,date_of_journey,source,destination,departure_time,arrival_time,duration,total_stops,price
1557,IndiGo,"Wed, 24 Nov",Patna,Bangalore,15:30,"00:20
+ 1 day",8h 50m,1 Stop,"3,828"
1558,IndiGo,"Wed, 24 Nov",Patna,Bangalore,16:20,"02:20
+ 1 day",10h 00m,1 Stop,"3,828"
1559,IndiGo,"Wed, 24 Nov",Patna,Bangalore,12:05,22:10,10h 05m,1 Stop,"3,828"
1560,Air India,"Fri, 19 Nov",Pune,Lucknow,12:35,19:40,7h 05m,1 Stop,"4,730"
1561,Air India,"Fri, 19 Nov",Pune,Lucknow,12:35,"08:15
+ 1 day",19h 40m,1 Stop,"4,730"
1562,IndiGo,"Fri, 19 Nov",Pune,Lucknow,14:10,16:00,1h 50m,1 Stop,"5,223"
1563,Air India,"Fri, 19 Nov",Pune,Lucknow,08:45,14:00,5h 15m,1 Stop,"5,255"
1564,Air India,"Fri, 19 Nov",Pune,Lucknow,08:45,19:40,10h 55m,1 Stop,"5,255"
1565,Air India,"Fri, 19 Nov",Pune,Lucknow,18:50,"08:15
+ 1 day",13h 25m,1 Stop,"5,255"
1566,Air India,"Fri, 19 Nov",Pune,Lucknow,08:45,"08:15
+ 1 day",23h 30m,1 Stop,"5,255"
1567,Air India,"Fri, 19 Nov",Pune,Lucknow,18:50,"19:40
+ 1 day",24h 50m,1 Stop,"5,255"
1568,Go First,"Fri, 19 Nov",Pune,Lucknow,15:30,22:15,6h 45m,1 Stop,"5,358"
1569,Go First,"Fri, 19 Nov",Pune,Lucknow,19:10,"07:30
+ 1 day",12h 20m,1 Stop,"5,358"
1570,Air Asia,"Tue, 30 Nov",Pune,New Delhi,18:40,20:50,2h 10m,1 Stop,"2,798"
1571,IndiGo,"Tue, 30 Nov",Pune,New Delhi,16:15,18:30,2h 15m,1 Stop,"2,798"
1572,Air India,"Tue, 30 Nov",Pune,New Delhi,18:50,21:05,2h 15m,1 Stop,"2,798"
1573,Air Asia,"Tue, 30 Nov",Pune,New Delhi,17:50,20:10,2h 20m,1 Stop,"2,798"
1574,Air India,"Tue, 30 Nov",Pune,New Delhi,12:35,16:00,3h 25m,1 Stop,"2,798"
1575,IndiGo,"Tue, 30 Nov",Pune,New Delhi,15:40,22:30,6h 50m,1 Stop,"2,798"
1576,Vistara,"Tue, 30 Nov",Pune,New Delhi,16:55,19:05,2h 10m,2 Stop(s),"2,848"
1577,Vistara,"Tue, 30 Nov",Pune,New Delhi,19:30,21:40,2h 10m,1 Stop,"2,848"
1578,SpiceJet,"Tue, 30 Nov",Pune,New Delhi,17:05,19:25,2h 20m,1 Stop,"2,859"
1579,IndiGo,"Tue, 30 Nov",Pune,New Delhi,13:45,16:00,2h 15m,1 Stop,"3,114"
1580,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,18:15,21:00,2h 45m,2 Stop(s),"2,270"
1581,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,19:40,22:25,2h 45m,1 Stop,"2,270"
1582,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,16:20,19:10,2h 50m,1 Stop,"2,270"
1583,Air India,"Mon, 15 Nov",Chennai,New Delhi,06:10,08:55,2h 45m,1 Stop,"2,271"
1584,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,17:05,22:25,5h 20m,1 Stop,"2,271"
1585,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,11:50,18:10,6h 20m,1 Stop,"2,271"
1586,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,15:45,22:25,6h 40m,1 Stop,"2,271"
1587,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,10:55,18:00,7h 05m,1 Stop,"2,271"
1588,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,15:45,23:45,8h 00m,1 Stop,"2,271"
1589,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,11:50,19:55,8h 05m,1 Stop,"2,271"
1590,IndiGo,"Mon, 15 Nov",Pune,Kolkata,14:40,20:00,5h 20m,1 Stop,"4,374"
1591,IndiGo,"Mon, 15 Nov",Pune,Kolkata,17:45,23:15,5h 30m,1 Stop,"4,374"
1592,IndiGo,"Mon, 15 Nov",Pune,Kolkata,14:40,21:10,6h 30m,1 Stop,"4,374"
1593,IndiGo,"Mon, 15 Nov",Pune,Kolkata,14:40,23:15,8h 35m,1 Stop,"4,374"
1594,Air Asia,"Mon, 15 Nov",Pune,Kolkata,11:50,15:45,3h 55m,1 Stop,"4,949"
1595,IndiGo,"Mon, 15 Nov",Pune,Kolkata,13:40,19:15,5h 35m,1 Stop,"4,949"
1596,IndiGo,"Mon, 15 Nov",Pune,Kolkata,11:00,17:20,6h 20m,1 Stop,"4,949"
1597,IndiGo,"Mon, 15 Nov",Pune,Kolkata,11:00,19:40,8h 40m,1 Stop,"4,949"
1598,IndiGo,"Mon, 15 Nov",Pune,Kolkata,13:40,22:40,9h 00m,1 Stop,"4,949"
1599,IndiGo,"Mon, 15 Nov",Pune,Kolkata,11:10,20:40,9h 30m,1 Stop,"4,949"
1600,IndiGo,"Wed, 24 Nov",Patna,Bangalore,09:15,12:00,2h 45m,1 Stop,"3,659"
1601,Vistara,"Wed, 24 Nov",Patna,Bangalore,10:30,13:00,2h 30m,1 Stop,"3,827"
1602,IndiGo,"Wed, 24 Nov",Patna,Bangalore,16:40,22:50,6h 10m,1 Stop,"3,828"
1603,IndiGo,"Wed, 24 Nov",Patna,Bangalore,16:20,22:40,6h 20m,1 Stop,"3,828"
1604,IndiGo,"Wed, 24 Nov",Patna,Bangalore,14:55,22:00,7h 05m,1 Stop,"3,828"
1605,IndiGo,"Wed, 24 Nov",Patna,Bangalore,16:20,"00:05
+ 1 day",7h 45m,1 Stop,"3,828"
1606,IndiGo,"Wed, 24 Nov",Patna,Bangalore,16:40,"01:05
+ 1 day",8h 25m,1 Stop,"3,828"
1607,IndiGo,"Wed, 24 Nov",Patna,Bangalore,15:30,"00:20
+ 1 day",8h 50m,1 Stop,"3,828"
1608,IndiGo,"Wed, 24 Nov",Patna,Bangalore,16:20,"02:20
+ 1 day",10h 00m,1 Stop,"3,828"
1609,IndiGo,"Wed, 24 Nov",Patna,Bangalore,12:05,22:10,10h 05m,1 Stop,"3,828"
1610,Air India,"Fri, 19 Nov",Pune,Lucknow,12:35,19:40,7h 05m,1 Stop,"4,730"
1611,Air India,"Fri, 19 Nov",Pune,Lucknow,12:35,"08:15
+ 1 day",19h 40m,1 Stop,"4,730"
1612,IndiGo,"Fri, 19 Nov",Pune,Lucknow,14:10,16:00,1h 50m,1 Stop,"5,223"
1613,Air India,"Fri, 19 Nov",Pune,Lucknow,08:45,14:00,5h 15m,1 Stop,"5,255"
1614,Air India,"Fri, 19 Nov",Pune,Lucknow,08:45,19:40,10h 55m,2 Stop(s),"5,255"
1615,Air India,"Fri, 19 Nov",Pune,Lucknow,18:50,"08:15
+ 1 day",13h 25m,2 Stop(s),"5,255"
1616,Air India,"Fri, 19 Nov",Pune,Lucknow,08:45,"08:15
+ 1 day",23h 30m,2 Stop(s),"5,255"
1617,Air India,"Fri, 19 Nov",Pune,Lucknow,18:50,"19:40
+ 1 day",24h 50m,2 Stop(s),"5,255"
1618,Go First,"Fri, 19 Nov",Pune,Lucknow,15:30,22:15,6h 45m,1 Stop,"5,358"
1619,Go First,"Fri, 19 Nov",Pune,Lucknow,19:10,"07:30
+ 1 day",12h 20m,1 Stop,"5,358"
1620,Air Asia,"Tue, 30 Nov",Pune,New Delhi,18:40,20:50,2h 10m,2 Stop(s),"2,798"
1621,IndiGo,"Tue, 30 Nov",Pune,New Delhi,16:15,18:30,2h 15m,1 Stop,"2,798"
1622,Air India,"Tue, 30 Nov",Pune,New Delhi,18:50,21:05,2h 15m,2 Stop(s),"2,798"
1623,Air Asia,"Tue, 30 Nov",Pune,New Delhi,17:50,20:10,2h 20m,1 Stop,"2,798"
1624,Air India,"Tue, 30 Nov",Pune,New Delhi,12:35,16:00,3h 25m,1 Stop,"2,798"
1625,IndiGo,"Tue, 30 Nov",Pune,New Delhi,15:40,22:30,6h 50m,2 Stop(s),"2,798"
1626,Vistara,"Tue, 30 Nov",Pune,New Delhi,16:55,19:05,2h 10m,2 Stop(s),"2,848"
1627,Vistara,"Tue, 30 Nov",Pune,New Delhi,19:30,21:40,2h 10m,2 Stop(s),"2,848"
1628,SpiceJet,"Tue, 30 Nov",Pune,New Delhi,17:05,19:25,2h 20m,1 Stop,"2,859"
1629,IndiGo,"Tue, 30 Nov",Pune,New Delhi,13:45,16:00,2h 15m,1 Stop,"3,114"
1630,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,18:15,21:00,2h 45m,1 Stop,"2,270"
1631,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,19:40,22:25,2h 45m,1 Stop,"2,270"
1632,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,16:20,19:10,2h 50m,1 Stop,"2,270"
1633,Air India,"Mon, 15 Nov",Chennai,New Delhi,06:10,08:55,2h 45m,1 Stop,"2,271"
1634,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,17:05,22:25,5h 20m,1 Stop,"2,271"
1635,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,11:50,18:10,6h 20m,1 Stop,"2,271"
1636,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,15:45,22:25,6h 40m,1 Stop,"2,271"
1637,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,10:55,18:00,7h 05m,1 Stop,"2,271"
1638,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,15:45,23:45,8h 00m,1 Stop,"2,271"
1639,IndiGo,"Mon, 15 Nov",Chennai,New Delhi,11:50,19:55,8h 05m,1 Stop,"2,271"
1640,IndiGo,"Mon, 15 Nov",Pune,Kolkata,14:40,20:00,5h 20m,1 Stop,"4,374"
1641,IndiGo,"Mon, 15 Nov",Pune,Kolkata,17:45,23:15,5h 30m,1 Stop,"4,374"
1642,IndiGo,"Mon, 15 Nov",Pune,Kolkata,14:40,21:10,6h 30m,1 Stop,"4,374"
1643,IndiGo,"Mon, 15 Nov",Pune,Kolkata,14:40,23:15,8h 35m,1 Stop,"4,374"
1644,Air Asia,"Mon, 15 Nov",Pune,Kolkata,11:50,15:45,3h 55m,1 Stop,"4,949"
1645,IndiGo,"Mon, 15 Nov",Pune,Kolkata,13:40,19:15,5h 35m,1 Stop,"4,949"
1646,IndiGo,"Mon, 15 Nov",Pune,Kolkata,11:00,17:20,6h 20m,1 Stop,"4,949"
1647,IndiGo,"Mon, 15 Nov",Pune,Kolkata,11:00,19:40,8h 40m,1 Stop,"4,949"
1648,IndiGo,"Mon, 15 Nov",Pune,Kolkata,13:40,22:40,9h 00m,1 Stop,"4,949"
1649,IndiGo,"Mon, 15 Nov",Pune,Kolkata,11:10,20:40,9h 30m,1 Stop,"4,949"
1650,IndiGo,"Wed, 24 Nov",Patna,Bangalore,09:15,12:00,2h 45m,1 Stop,"3,659"
1651,Vistara,"Wed, 24 Nov",Patna,Bangalore,10:30,13:00,2h 30m,1 Stop,"3,827"
1652,IndiGo,"Wed, 24 Nov",Patna,Bangalore,16:40,22:50,6h 10m,1 Stop,"3,828"
1653,IndiGo,"Wed, 24 Nov",Patna,Bangalore,16:20,22:40,6h 20m,1 Stop,"3,828"
1654,IndiGo,"Wed, 24 Nov",Patna,Bangalore,14:55,22:00,7h 05m,1 Stop,"3,828"
1655,IndiGo,"Wed, 24 Nov",Patna,Bangalore,16:20,"00:05
+ 1 day",7h 45m,1 Stop,"3,828"
1656,IndiGo,"Wed, 24 Nov",Patna,Bangalore,16:40,"01:05
+ 1 day",8h 25m,1 Stop,"3,828"
1657,IndiGo,"Wed, 24 Nov",Patna,Bangalore,15:30,"00:20
+ 1 day",8h 50m,1 Stop,"3,828"
1658,IndiGo,"Wed, 24 Nov",Patna,Bangalore,16:20,"02:20
+ 1 day",10h 00m,2 Stop(s),"3,828"
1659,IndiGo,"Wed, 24 Nov",Patna,Bangalore,12:05,22:10,10h 05m,1 Stop,"3,828"
1660,Air India,"Fri, 19 Nov",Pune,Lucknow,12:35,19:40,7h 05m,1 Stop,"4,730"
1661,Air India,"Fri, 19 Nov",Pune,Lucknow,12:35,"08:15
+ 1 day",19h 40m,1 Stop,"4,730"
1662,IndiGo,"Fri, 19 Nov",Pune,Lucknow,14:10,16:00,1h 50m,1 Stop,"5,223"
1663,Air India,"Fri, 19 Nov",Pune,Lucknow,08:45,14:00,5h 15m,1 Stop,"5,255"
1664,Air India,"Fri, 19 Nov",Pune,Lucknow,08:45,19:40,10h 55m,1 Stop,"5,255"
1665,Air India,"Fri, 19 Nov",Pune,Lucknow,18:50,"08:15
+ 1 day",13h 25m,1 Stop,"5,255"
1666,Air India,"Fri, 19 Nov",Pune,Lucknow,08:45,"08:15
+ 1 day",23h 30m,1 Stop,"5,255"
1667,Air India,"Fri, 19 Nov",Pune,Lucknow,18:50,"19:40
+ 1 day",24h 50m,1 Stop,"5,255"
1668,Go First,"Fri, 19 Nov",Pune,Lucknow,15:30,22:15,6h 45m,1 Stop,"5,358"
1669,Go First,"Fri, 19 Nov",Pune,Lucknow,19:10,"07:30
+ 1 day",12h 20m,1 Stop,"5,358"
